distanza_reale_mm,n_totali,n_valide,n_non_valide,media_mm,mediana_mm,std_mm,min_mm,p05_mm,p25_mm,p75_mm,p95_mm,max_mm,errore_media_mm,errore_mediana_mm
20.000,200,190,10,22.100,22.000,1.300,18.000,20.000,21.000,23.000,24.000,26.000,2.100,2.000
20.000,200,193,7,21.900,22.000,1.200,18.000,20.000,21.000,23.000,24.000,25.000,1.900,2.000
20.000,200,188,12,22.300,22.000,1.400,18.000,20.000,21.000,23.000,25.000,27.000,2.300,2.000
30.000,200,199,1,31.900,32.000,0.900,29.000,30.000,31.000,32.000,33.000,34.000,1.900,2.000
30.000,200,200,0,32.100,32.000,0.800,30.000,31.000,32.000,33.000,33.000,34.000,2.100,2.000
30.000,200,200,0,32.000,32.000,0.850,29.000,31.000,31.000,33.000,33.000,34.000,2.000,2.000
40.000,200,200,0,42.200,42.000,0.700,40.000,41.000,42.000,43.000,43.000,44.000,2.200,2.000
40.000,200,200,0,42.000,42.000,0.750,40.000,41.000,41.000,43.000,43.000,44.000,2.000,2.000
40.000,200,199,1,42.100,42.000,0.720,40.000,41.000,42.000,43.000,43.000,44.000,2.100,2.000
50.000,200,200,0,52.100,52.000,0.650,50.000,51.000,52.000,53.000,53.000,54.000,2.100,2.000
50.000,200,200,0,52.200,52.000,0.700,50.000,51.000,52.000,53.000,53.000,54.000,2.200,2.000
50.000,200,200,0,52.000,52.000,0.680,50.000,51.000,52.000,52.000,53.000,54.000,2.000,2.000
75.000,200,200,0,77.300,77.000,0.800,75.000,76.000,77.000,78.000,79.000,80.000,2.300,2.000
75.000,200,200,0,77.100,77.000,0.750,75.000,76.000,77.000,78.000,78.000,79.000,2.100,2.000
75.000,200,200,0,77.200,77.000,0.780,75.000,76.000,77.000,78.000,79.000,80.000,2.200,2.000
100.000,200,200,0,102.400,102.000,0.900,100.000,101.000,102.000,103.000,104.000,105.000,2.400,2.000
100.000,200,200,0,102.300,102.000,0.850,100.000,101.000,102.000,103.000,104.000,105.000,2.300,2.000
100.000,200,200,0,102.500,103.000,0.920,100.000,101.000,102.000,103.000,104.000,105.000,2.500,3.000
125.000,200,199,1,127.600,128.000,1.000,124.000,126.000,127.000,128.000,129.000,131.000,2.600,3.000
125.000,200,200,0,127.500,128.000,0.950,125.000,126.000,127.000,128.000,129.000,130.000,2.500,3.000
125.000,200,200,0,127.700,128.000,1.050,124.000,126.000,127.000,128.000,129.000,131.000,2.700,3.000
150.000,200,198,2,152.800,153.000,1.100,149.000,151.000,152.000,154.000,155.000,157.000,2.800,3.000
150.000,200,199,1,152.700,153.000,1.050,149.000,151.000,152.000,153.000,154.000,156.000,2.700,3.000
150.000,200,198,2,152.900,153.000,1.150,149.000,151.000,152.000,154.000,155.000,157.000,2.900,3.000
